Date,Year,Month,MonthName,Quarter,DayOfWeek
2023-01-01,2023,1,January,1,7
2023-01-15,2023,1,January,1,7
2023-02-01,2023,2,February,1,3
2023-02-15,2023,2,February,1,3
2023-03-01,2023,3,March,1,3
2023-03-15,2023,3,March,1,3
2023-04-01,2023,4,April,2,6
2023-04-15,2023,4,April,2,6
2023-05-01,2023,5,May,2,1
2023-05-15,2023,5,May,2,1
2023-06-01,2023,6,June,2,4
2023-06-15,2023,6,June,2,4
2023-07-01,2023,7,July,3,6
2023-07-15,2023,7,July,3,6
2023-08-01,2023,8,August,3,2
2023-08-15,2023,8,August,3,2
2023-09-01,2023,9,September,3,5
2023-09-15,2023,9,September,3,5
2023-10-01,2023,10,October,4,7
2023-10-15,2023,10,October,4,7
2023-11-01,2023,11,November,4,3
2023-11-15,2023,11,November,4,3
2023-12-01,2023,12,December,4,5
2023-12-15,2023,12,December,4,5
2024-01-01,2024,1,January,1,1
2024-01-15,2024,1,January,1,1
2024-02-01,2024,2,February,1,4
2024-02-15,2024,2,February,1,4
2024-03-01,2024,3,March,1,5
2024-03-15,2024,3,March,1,5
2024-04-01,2024,4,April,2,1
2024-04-15,2024,4,April,2,1
2024-05-01,2024,5,May,2,3
2024-05-15,2024,5,May,2,3
2024-06-01,2024,6,June,2,6
2024-06-15,2024,6,June,2,6
2024-07-01,2024,7,July,3,1
2024-07-15,2024,7,July,3,1
2024-08-01,2024,8,August,3,4
2024-08-15,2024,8,August,3,4
2024-09-01,2024,9,September,3,7
2024-09-15,2024,9,September,3,7
2024-10-01,2024,10,October,4,2
2024-10-15,2024,10,October,4,2
2024-11-01,2024,11,November,4,5
2024-11-15,2024,11,November,4,5
2024-12-01,2024,12,December,4,7
2024-12-15,2024,12,December,4,7
