SaleId,ProductKey,Quantity,Amount,OrderDate,Region,Discount
100,1,1,100,2023-01-01,US,0.05
101,3,4,60,2023-01-08,APAC,
102,2,2,200,2023-01-15,EU,
103,5,2,100,2023-02-01,US,
104,4,1,10,2023-02-08,APAC,
105,1,4,60,2023-02-15,EU,0.1
106,5,10,100,2023-03-01,US,
107,5,4,400,2023-03-08,APAC,
108,5,7,105,2023-03-15,EU,
109,4,10,200,2023-04-01,US,
110,1,3,300,2023-04-08,APAC,0.15
111,4,6,120,2023-04-15,EU,
112,2,4,80,2023-05-01,US,
113,1,2,50,2023-05-08,APAC,
114,1,6,120,2023-05-15,EU,
115,5,5,50,2023-06-01,US,0.05
116,4,9,90,2023-06-08,APAC,
117,4,2,100,2023-06-15,EU,
118,3,10,200,2023-07-01,US,
119,5,4,400,2023-07-08,APAC,
120,1,1,100,2023-07-15,EU,0.2
121,2,5,50,2023-08-01,US,
122,2,2,50,2023-08-08,APAC,
123,3,8,800,2023-08-15,EU,
124,3,3,60,2023-09-01,US,
125,3,4,400,2023-09-08,APAC,
126,3,2,100,2023-09-15,EU,
127,2,9,900,2023-10-01,US,
128,2,3,75,2023-10-08,APAC,
129,4,5,500,2023-10-15,EU,
130,5,4,400,2023-11-01,US,0.1
131,3,1,15,2023-11-08,APAC,
132,1,6,150,2023-11-15,EU,
133,3,2,30,2023-12-01,US,
134,5,6,90,2023-12-08,APAC,
135,4,7,700,2023-12-15,EU,
136,4,3,60,2024-01-01,US,
137,2,4,400,2024-01-08,APAC,
138,5,9,180,2024-01-15,EU,
139,5,7,350,2024-02-01,US,
140,4,6,90,2024-02-08,APAC,0.25
141,2,9,225,2024-02-15,EU,
142,1,1,10,2024-03-01,US,
143,2,3,300,2024-03-08,APAC,
144,4,10,100,2024-03-15,EU,
145,4,7,350,2024-04-01,US,
146,4,9,180,2024-04-08,APAC,
147,5,1,100,2024-04-15,EU,
148,1,9,180,2024-05-01,US,
149,3,2,40,2024-05-08,APAC,
150,4,3,75,2024-05-15,EU,0.15
151,1,5,250,2024-06-01,US,
152,2,9,90,2024-06-08,APAC,
153,3,9,450,2024-06-15,EU,
154,2,3,60,2024-07-01,US,
155,2,9,450,2024-07-08,APAC,
156,1,10,200,2024-07-15,EU,
157,4,1,10,2024-08-01,US,
158,3,5,75,2024-08-08,APAC,
159,1,4,200,2024-08-15,EU,
160,1,2,200,2024-09-01,US,0.05
161,4,2,100,2024-09-08,APAC,
162,2,3,300,2024-09-15,EU,
163,4,9,135,2024-10-01,US,
164,3,9,450,2024-10-08,APAC,
165,4,4,200,2024-10-15,EU,
166,2,5,125,2024-11-01,US,
167,3,8,400,2024-11-08,APAC,
168,4,2,30,2024-11-15,EU,
169,2,2,40,2024-12-01,US,
170,1,10,500,2024-12-08,APAC,0.1
171,2,10,150,2024-12-15,EU,
